
about 71 students in the relevant age group | students
student suicide | suicide
students | students
extreme pressure | pressure
the pressure itself | pressure
high-pressure | pressure
academic pressure | pressure
all Hong Kong students | students
Youth Suicide   | Suicide
two students for putting up the posters | students
student | student
student suicides | suicides
Suicide | Suicide
suicide | suicide
A 17-year-old student from Guangdong | student
suicide | suicide
their suicides | suicides
The high school student | student
suicide | suicide
suicide | suicide
local student | student
Suicide | Suicide
multiple teen suicides | suicides
a student of the University of Hong Kong | student
suicide | suicide
suicide | suicide
Suicide and Prevention | Suicide
suicide | suicide
suicide | suicide
A 19-year-old Baptist University student from Tai Po  | student
academic pressure | pressure
a Secondary Five student | student
Two student | student
no-suicide | suicide
student | student
suicide | suicide
student | student
student suicide | suicide
students who seek help | students
No-suicide | suicide
youth suicide | suicide
students | students
Student | Student
Suicide | Suicide
a Heep Yunn School Primary Five student | student
students | students
the student | student
students | students
Rape-bid student found hanged A top Secondary Four student at an elite Kwun Tong school accused of attempted rape | student
A top Secondary Four student at an elite Kwun Tong school accused of attempted rape | student
the 17-year- old student of a Band-One school | student
suicide | suicide
a top student in a Band-One secondary school | student
A 16-year-old secondary school student | student
suicide | suicide
a secondary five student at CCC Tam Lee Lai Fun Memorial Secondary School | student
a good student | student
suicide | suicide
murder-suicide  | suicide
murder-suicide  | suicide
the murder-suicide  | suicide
domestic murder-suicides  | suicides
murder-suicide  | suicide
Suicide | Suicide
While C-sections are favoured in China as a less painful option, the government has pressured hospitals to reduce the Caesarean rate which is among the world’s highest. | pressured
Suicide | Suicide
primary school students | students
six students | students
the 349,000 primary school students in the city | students
students | students
the student’s | student
pressure | pressure
over 72 suicides among young people, | suicides
primary school students | students
students | students
Suicide | Suicide
1,301 primary school students | students
the students   | students
most students | students
primary student | student
over 33,000 primary students | students
students | students
students | students
suicide | suicide
a Primary One student | student
a Year 2 student studying dentistry at the University of Hong Kong | student
Suicide | Suicide
attempting suicide | suicide
students | students
Student | Student
students | students
student | student
suicide | suicide
student | student
student suicides | suicides
the pressure | pressure
Suicide | Suicide
suicides | suicides
student | student
student suicides | suicides
Student | Student
Suicide | Suicide
the more than 60 students who have committed suicide since 2015 | students
suicide | suicide
the students | students
students, parents, schools and civil groups | students
student | student
student suicides | suicides
Student | Student
students' | students
an Israeli exchange student, 21, | student
The student, who held a Canadian passport, | student
suicide | suicide
students of Education University | students
a former City University student | student
student | student
students | students
further pressure | pressure
students | students
pressure | pressure
students | students
students at the university | students
Student | Student
around ten students | students
students at the school | students
the university’s students | students
no-suicide | suicide
student | student
student suicide | suicide
the student | student
No-suicide | suicide
students who may be in a confused state, | students
suicide | suicide
students who seek help | students
suicide | suicide
student | student
the student | student
no-suicide | suicide
student | student
seven student suicides in the space of nine days | suicides
Suicide | Suicide
No-suicide | suicide
no-suicide | suicide
students killing themselves | students
students | students
Student | Student
Student Suicide for Schools: Early Detection, Intervention & Postvention | Suicide
at-risk students | students
no-suicide | suicide
the students | students
student | student
a student who is emotionally confused to focus on the simplest ways to help himself, such as finding helpers, calling an assistance hotline and ways to distract his attention from suicide | student
suicide | suicide
suicide | suicide
suicide | suicide
Suicide | Suicide
uni suicide | suicide
the suicide of her 25-year-old son | suicide
students | students
students of the university | students
his students | students
Students | Students
students | students
Students | Students
student | student
students | students
The students' | students
the students | students
its students | students
EdUHK student | student
the university students | students
the suicide of her son | suicide
EdUHK students | students
student | student
all students at this university | students
the student responsible for the offensive messages | student
the student’s | student
her son’s suicide | suicide
Student | Student
student | student
the students | students
student | student
A student who tore down Hong Kong independence posters at the Chinese University (CUHK) | student
a student who attempted to take down Hong Kong independence posters being confronted by student union members | student
student | student
the mainland student | student
some students | students
all students | students
student | student
students emphasising that ‘the student union does not represent me | students
student | student
student | student
the student | student
other students | students
sad | sad
the student | student
the student | student
a Sichuan student who appeared to have fallen to his death from his dorm building | student
A 14-year-old student surnamed Zhao | student
suicide | suicide
If the deceased committed suicide then where is the suicide note? | suicide
suicide | suicide
students | students
Student who tore down pro-independence posters abused online in Hong Kong, but wins praise in state media | Student
students or outsiders | students
student | student
Student | Student
around ten students | students
students | students
Education University students | students
other students | students
a student | student
A top Chinese general committed suicide after authorities opened an investigation against him over his links to two corruption-tainted former senior military officers | suicide
Suicide | Suicide
two BU students who, on January 17, went with other students to the Language Centre to protest against the unfairness of the University’s requirement that students to pass a Putonghua exam as a graduation prerequisite | students
other students to the Language Centre | students
students | students
the two students | students
only one student | student
no students | students
Hong Kong college students | students
Mainland students studying in Hong Kong | students
Students | Students
local students | students
The students | students
a few students, including Lau Chi-kei, chair of the HKBU Student Union, and Chan Lok-hang, a final year Chinese medicine student, | students
Student | Student
a final year Chinese medicine student | student
the students | students
the students present at the scene uttered any other swearwords | students
the students | students
students and university staff | students
both students | students
university students | students
student | student
Student | Student
Student | Student
the two suspended students | students
students taking their own lives | students
suicides | suicides
suicide | suicide
teen suicides | suicides
their students and children | students
student | student
student suicides | suicides
students who need help to public mental health clinics run by the Hospital Authority (HA) | students
suicide | suicide
students | students
students | students
Student | Student
university students | students
students | students
students who qualify for student subsidies and tuition remission schemes | students
student | student
Around 220,000 students from kindergarten up to university level | students
grassroots students | students
students at different levels | students
University students | students
students who may not go out a lot | students
