string,polarity
"In this struggle of the systems, China is certainly no enemy of the West as Russia was during the Cold War: the country does not aim for military expansion.",-0.26904761904761904
"In a statement, the Security Bureau said police are actively investigating the case as well as trying hard to handle the situation under the existing legal framework.",-0.07500000000000001
"Barrister Albert Luk Wai-hung said it would be difficult to prove that Chan’s act was premeditated unless police found evidence that the victim had been battered, poisoned or harmed in other ways by Chan in Hong Kong.",-0.2333333333333333
Taiwanese authorities were said to have conducted an autopsy of the victim’s body.,-0.07500000000000001
The two spent a few days in Kaohsiung city in southern Taiwan before going to Taipei to celebrate Valentine’s Day on Feb. 14.,-0.10000000000000002
Officers of the missing persons unit of the Kowloon East Region police district questioned Chan and found him in possession of Poon’s ATM card.,-0.2
It is understood that Chan admitted under interrogation that he killed his girlfriend and put her body in a luggage.,-0.2
It is not clear what motivated him to kill Poon.,-0.05000000000000001
"During the event, protesters demanded that Chief Executive Carrie Lam Cheng Yuet-ngor take the youth suicide problem seriously and carry out changes in the education system, Apple Daily reports.",-0.16666666666666666
"During the rally Sunday, protestors took off their shoes and placed them on a black banner on the floor, with all 74 suicide dates marked out on the banner in order to remind the public of the tragic incidents.",-0.20416666666666666
"After the demonstration was over, the protestors all bowed down in silence as the dates of the students’ suicides were recited.",-0.15555555555555559
A teacher surnamed Yam said he joined Sunday’s protest because he believes the Hong Kong Diploma of Secondary Education examination is causing too much stress for students.,-0.04999999999999999
"A parent at the protest, a woman surnamed Wong, said that her daughter had been forced to start writing at the young age of two.",-0.10000000000000002
"Tong Chung-yee, a spokesperson for Parents United, noted that authorities had started a program where schools were given HK$200,000 funding for promoting mental health, under the “Joyful at School” initiative.",-0.1
"One of the victims, an 18-year-old secondary 6 student, was saved by passers-by after he jumped into the river from a pedestrian overpass near the Tai Po Mega Mall, Apple Daily reports.",-0.06666666666666667
He was rushed to hospital where he was later pronounced dead.,-0.1
"Yip, director of the University of Hong Kong's Center for Suicide Research and Prevention, was appointed last year to head the panel following a spate of student suicides.",-0.03333333333333333
"It also said children and youngsters committing suicide were mainly due to ""schoolwork problems, worries about their futures and relationship problems with family members or boyfriends or girlfriends.""",-0.125
"“We have been discussing with Google and Facebook how to respond actively when some people show warning signs online and how to identify this group of people as soon as possible,” Yip said.",-0.06666666666666667
This was written around the time of Tchaikovsky's disastrous marriage - which lasted three months and ended with suicidal intentions.,-0.7
Yu Long was appointed Principal Guest Conductor with the HK Phil for a three-year period commencing with the 2015/16 season.,-0.05
He was rushed to hospital and later certified dead.,-0.1
"“Unlike other cases, probate cases often unveil the ugliness of humanity.",-0.2125
Siblings no longer talk to each other.,-0.125
He was born in 1922 in a village in Hunan province; his family owned a small business.,-0.25
He served three years in a center “for thought correction”.,-0.1
He decided to spend $10 million a year on mobile clinics to perform surgeries to remove cataracts in remote parts of China.,-0.1
"With multiple body injuries, he was rushed to Pok Oi Hospital, where he was later pronounced dead.",-0.06666666666666667
"But if parents always resort to censure and suppression whenever their kids revolt against their expectations or simply become less tractable, they risk alienating the young adults, who may choose some radical ways to escape from bridled circumstances rather than seeking help from the family.",-0.09166666666666667
"Parents must ask themselves: Does suicide really occur without any indication, or is it just that parents fail, or are too busy, to take note of them?",-0.06666666666666667
The eldest son of Education Undersecretary Choi Yuk-lin died after falling from a Tsim Sha Tsui flat on Thursday morning.,-0.025
The reasons for the incident are still unknown.,-0.1
"You don’t even know how to be someone’s mother, how can you educate other people’s children?",-0.125
"You are such a failure, you should resign,” one commenter said on discussion forum LIHKG.",-0.15833333333333335
Another user attacked the Education Bureau for not “breaking a sweat” sooner over previous teacher and pupil deaths.,-0.16666666666666666
"Don’t say that the people piling on are being insensitive – because these are the seeds that you have sowed.” ‘Inhumane monsters’ The Education Bureau (EDB) said that it “severely condemned the vicious and maliciously offensive behaviour” of the people responsible for the signs at the university, and thanked school authorities for taking immediate action.",-0.39999999999999997
"“Demand that Education University use CCTV to uncover the inhumane monsters, and expel them from the school, to prevent this animal from becoming a teacher and misguiding their children!” he said.",-0.16875
"The university’s student union issued a statement saying that it was not responsible for the signs, and that it had sent representatives to take them down.",-0.1277777777777778
"“Whilst we disagree with Ms. Choi on her educational policy, we will not kick someone when they’re already down due to a difference in opinion.",-0.010185185185185195
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
"He was rushed to Queen Elizabeth Hospital, where he was pronounced dead.",-0.2
"Poon, however, was forced to stop running after suffering from brain injuries in an accident during a triathlon last year.",-0.15000000000000002
The survey found that 31.6 percent of primary pupils and 40.3 percent of secondary schoolchildren are considered vulnerable - scoring 11 or above out of 30 in the suicidal risk assessment.,-0.09999999999999999
Nearly half of the vulnerable cases indicated that they have a suicidal wish.,-0.3333333333333333
"""I used to ask my daughter: 'Why are you crying again in the early morning?'",-0.05
"to stop her from crying immediately,"" Chow said.",-0.2
"""But after the workshop, I realized that I should recognize her negative emotion and try to set goals and find a solution together.",-0.3
"He told his family that he was unhappy at school prior to his action last Sunday, according to local media.",-0.1
"A 12-year-old student attempted suicide earlier this month, also reportedly due to academic pressure.",-0.041666666666666664
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
Correction 22/2: A previous version of this article incorrectly stated that the incident surrounding the 15-year-old boy occurred on Sunday.,-0.16666666666666666
"Over the past two months, the groups interviewed 631 students, parents, teachers and social workers, and some 90 percent supported the idea of standard studying hours.",-0.07222222222222223
A 17-year-old Secondary Six student plunged to his death from a school building in Tin Shui Wai.,-0.3
"The incident took place at YLPMSAA Tang Siu Tong Secondary School at about 8 a.m. on Monday, Apple Daily reports.",-0.15
The victim was found on the ground in front of the school building by students gathering for a morning assembly.,-0.07500000000000001
"He was rushed to hospital, where he was later pronounced dead.",-0.1
It was understood that the boy had to attend after-school classes four days a week to prepare for the Hong Kong Diploma of Secondary Education (HKDSE) examination scheduled for April next year.,-0.15
"The bureau also referred to the final report of the Committee on Prevention of Student Suicides, published last November, which said that suicides were caused by multiple complicated interacting factors.",-0.125
"I’m studying repeatedly every single day, but I don’t understand the point of it.” 35 cases of student suicide were reported last year.",-0.03571428571428571
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
"The girl, who was in her school uniform, was rushed to Yan Chai Hospital, where she was pronounced dead.",-0.2
A suicide note was found and it is believed the girl was troubled by academic issues.,-0.25
"The grieving family went to the scene in the afternoon to mourn their loss, with the mother heard crying: ""Mommy won't shout at you again.",-0.2
"Ng told parents to look for signs, including if their children have lost weight, lost interest in activities they used to be passionate about and if they are giving away items they treasure a lot or stopped caring about their appearance.",-0.05
"Ip again expressed disappointment with the committee report, which concluded that ""there is no direct correlation between student suicide cases and the overall education system.""",-0.21666666666666667
He called upon the government to review the education system by canceling unnecessary assessments that burden pupils and looking into the student-teacher ratio.,-0.4
"The Education Bureau cited findings by an investigation committee that student suicides are often caused by “multiple complex reasons” that influnce one another, Apple Daily reported.",-0.09999999999999999
"Ng Wai-han, a senior social worker at YWCA, said many young people face pressures from schoolwork and interpersonal relationships, and they are especially vulnerable to post-holiday depression.",-0.09166666666666667
She urged them not to put themselves in a dead end but open their minds to talk out problems.,-0.1
"In other words, the exam is not a level playing field.",-0.125
This has led to the blanket exclusion of poor kids from elite schools.,-0.4
According to the institute this might even close the “achievement gap” between rich and poor kids.,-0.012500000000000011
"While it is unfortunate that it took the tragedies of student suicide to bring renewed attention to pressures students face in school, a closer examination behind the causes of these pressures must continue.",-0.45
"The Hong Kong Jockey Club Centre for Suicide Research and Prevention estimates that the suicide rate for people aged between 15 and 24 was 8.9 per 100,000 last year – up from 8.4 per 100,000 the year before.",-0.05
But the center said it expects the situation to improve over time after the government rolled out a number of prevention measures last year.,-0.05
"The center said the overall number of suicide cases has been decreasing over the years, and the elderly remain the age group with the highest suicide rate.",-0.05
"HK01 reported that his suicide may be related to worries over academic grades, as his secondary school was about to announce results.",-0.09999999999999999
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
"A 15-year-old secondary student plunged to his death on Sunday in Ma On Shan, the third such case in eight days.",-0.09999999999999999
"The boy is believed to have jumped off the roof of Kam Pong House in Kam Tai Court around 10 a.m., am730 reports.. Police said the victim might have committed suicide due to pressure from schoolwork.",-0.1
"He was studying at a Band 1 secondary school in Ma On Shan which was about to hand out report cards, according to Apple Daily.",-0.15
The victim texted his parents that he wanted to kill himself at around 9 a.m. on Sunday but they could not locate him.,-0.07500000000000001
Paul Yip from the University of Hong Kong Center for Suicide Research and Prevention said the incidents could be related to pressure from studies.,-0.05
He said the victims also might have been having emotional problems or poor interpersonal relationships.,-0.2
"Hsu Siu-man, supervisor of the Youth Wellness Centers of the Hong Kong Federation of Youth Groups, said students could be copying suicides from previous cases.",-0.16666666666666666
"All serious research on suicide recognizes that there are usually multiple factors, nobody is suggesting otherwise, and this is a crude attempt to discredit anyone who dares to criticize the report.",-0.3444444444444444
"The wording of the report’s denial is chosen carefully, as if written by a lawyer or politician trying to squirm out of a tight corner.",-0.1392857142857143
"While the report makes a number of useful recommendations about increasing budgets for psychological support to students and parents, expanding service referral via the schools, and educating society about the risk of suicide, it fails to make any serious recommendations on how to reduce pressure on students.",-0.13333333333333333
"Like a 2011 EDB guide on preventing student suicide, the report focuses on measures to help students learn how to deal with extreme pressure rather than trying to address the source of the pressure itself.",-0.125
"On social media, one troll said the son's death was ""karma slapped in her face,"" referring to education policies they were unhappy with.",-0.2833333333333333
"Alvin Ng said that Poon took his life due to ""poor life planning"" in a take on former education secretary Eddie Ng Hak-kim, who had linked poor life planning to a worrying spate of student suicides.",-0.23125
"""Of course, social divide played a part in it, but I believe the internet exposes this evil side in many parts of the world.""",-0.15555555555555556
"As for Peter Poon's death, Yip admitted it was extremely difficult to recover from traumatic accidents.",-0.5
"""It was inevitable to feel frustrated that you could not do what you used to do, like you were at a trough.""",-0.35
"Yip also warned against the impact of sensationalization of news on those living with ""black dog"" depression.",-0.16666666666666666
A 17-year-old student from Guangdong has been arrested after allegedly organising a chat room group that disseminated messages on the “Blue Whale” suicide game.,-0.16666666666666666
"According to US-backed Radio Free Europe, the Blue Whale Challenge is a “game” where teenage participants are ordered to perform one task every day – usually involving self-harm – ending with their suicides after 50 days.",-0.05
"The Beijing News reported that a teenage surnamed Xu, the founder of a chat group for buying and selling software and clothes, was detained for posts he made on WeChat related to the game on Friday.",-0.13333333333333333
The high school student told Zhanjiang police that he was invited into a chat group named “Blue Whale suicide game” on May 9.,-0.08
"According to the Criminal Law of the People’s Republic of China, the dissemination of terrorist or extremist materials is punishable by a prison term of less than five years in minor cases.",-0.20555555555555557
"On Saturday, however, an anonymous writer on local student Facebook community Schools Secrets claimed that three friends were spotted with arm injuries a few days after they wrote the same cryptic Facebook posts: “#imawhale.” If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.09333333333333334
Experts are urging parents and schools to keep a strong vigil on children after a sick social media game that has been linked to multiple teen suicides in Russia seems to have made its way into Hong Kong.,-0.10793650793650796
"The call for caution comes after a netizen who claimed to be a student of the University of Hong Kong said in a Facebook post that three of his friends were suspected to be participating in the Blue Whale Challenge, also known as the Blue Whale suicide game.",-0.13333333333333333
"According to the post, the three friends not only wrote “I am a whale” on their Facebook pages, but were also seen with their left hands wrapped in bandages a few days later, suggesting injuries.",-0.05
"Blue Whale Challenge, which originated in Russia, is an online game in which participants are purportedly assigned a curator who suggests they commit various acts of self-harm on a daily basis for 50 days.",-0.1
"It also goes by other names including “A Silent House”, “A Sea Of Whales” and “Wake Me Up At 4:20am”.",-0.0625
"On the final day, participants are urged to commit suicide so as to win the game, a sick challenge that has reportedly led to a number of young people ending up injured or dead around the world.",-0.06904761904761904
"The creator of the brain wash game, a 21-year-old Russian man named Philipp Budeikin, was arrested by police last year, but that has not put an end to the Blue Whale game in the cyber world.",-0.16
"Professor Yip Siu-fai, director of the Hong Kong Jockey Club Center for Suicide and Prevention at the University of Hong Kong, said he has been aware of the influences brought by the game.",-0.08333333333333333
"Besides calling on the government to be vigilant, Yip urged parents and schools to put up their guard and watch if those under their care suffer from any strange injuries or show behavioral changes.",-0.05
"The game’s potential harmful consequences should not be underestimated, Yip said, warning youngsters not to even try the online game just out of curiosity.",-0.26666666666666666
"A senior social worker told Headline Daily that Blue Whale Challenge is a suicide-promoting endeavor rather than a just game, as the online challenge systematically asks players to hurt themselves.",-0.09166666666666667
He asked all sections of society to stay on high alert to prevent the game from expanding online and prompting young people to form groups to commit suicide.,-0.04666666666666667
"According to the police, the 16-year-old was unhappy because of school work.",-0.6
"The victim had suffered from mood swings owing to extracurricular commitments, the local newspaper Ming Pao reported.",-0.037500000000000006
"James Hon Lin-shan, the former chairman of the Council on Professional Conduct in Education, wrote on Monday in an Apple Daily column that the root cause of youth suicide is the Bureau’s indifference to students’ academic stress brought about by the imbalance and failure of the education curriculum.",-0.04333333333333334
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
The girl fell sick last Monday and saw a doctor the next day.,-0.2380952380952381
"Infectious disease specialist Joseph Tsang Kay-yan said it is very common for the flu virus to trigger secondary bacterial infections, such as pneumonia.",-0.22999999999999998
"According to the US Centers for Disease Control and Prevention: ""Flu virus infection of the respiratory tract can trigger an extreme inflammatory response in the body and can lead to sepsis, the body's life-threatening response to infection.""",-0.125
"""People should still get vaccinated even though there was an alleged vaccine mismatch before,"" he said.",-0.1
Police were closing in on the 17-year- old student of a Band-One school about 5am yesterday when they found him dead in Po Tat Estate.,-0.05
"At 2am on Saturday, a 19-year-old was returning to her Tin Wan House home in Shun Tin Estate after jogging along Shun On Road when she was attacked from behind, dragged and had her head covered with a reusable bag.",-0.30000000000000004
Police classified the case as attempted rape and said they were looking for a 1.7-meter tall suspect who wore glasses and was wearing a dark- colored T-shirt and shorts and was aged about 20.,-0.125
The schoolmate said it was hard to believe that To was involved in an attempted rape case.,-0.2916666666666667
"A schoolmate who studied with him in Sau Mau Ping Catholic Primary School said To was seriously sick for several months and had to repeat one school year, making him older than his classmates.",-0.029523809523809525
To's younger brother studies in the same school and also had outstanding results in both Secondary Two and Secondary Three.,-0.019999999999999997
He was rushed to a hospital where he was pronounced dead on arrival.,-0.2
"Preliminary investigation showed that the boy fell from the building, hitting the truck’s container before bouncing into the gap behind the driving cabin.",-0.4
"The boy was a secondary five student at CCC Tam Lee Lai Fun Memorial Secondary School, Apple Daily reported.",-0.075
"He also had numerous awards in other science and invention competitions, such as the Hong Kong Youth Science and Innovation Competition, a robot competition and the Soong Ching Ling Young Inventors Award.",-0.006249999999999999
"As the horrific news about the young couple, who were both civil servants, gripped the city, reports speculated that the act of violence was the inevitable consequence of the wife earning a higher salary than the husband.",-0.1625
The reports have irresponsibly showcased and perpetuated a sexist narrative which blames the victim.,-0.07500000000000001
"The majority of the victims are women, and the perpetrators are usually their partners or former partners.",-0.125
Leaving a relationship is the most dangerous time for domestic violence victims.,-0.033333333333333326
To lay blame on victims and labelling them as a “scorned wife” or “cold” for refusing to reconcile with a partner perpetuates patriarchy at the heart of which lies gender inequality and oppression.,-0.6
"Sadly, these continue to be sorely lacking at this moment.",-0.5
Ma’s family and her doctors have blamed each other for denying her the surgery that could have eased her suffering.,-0.125
"Photo: Weibo, But Ma’s husband, Yan Zhuangzhuang, told the Beijing Youth Daily that he had agreed to his wife’s surgery: it was the doctor who said it was unnecessary.",-0.2
"Under Chinese law, the decision should have been made by the person herself, according to Feng Lihua, an expert on medical disputes at Beijing’s Zhongdun Law Firm.",-0.06666666666666667
"“It cannot be authorised by other people,” he told AFP.",-0.125
Some commenters argued the family was not able or willing to pay for the surgery — a common problem in a country where anything other than the most basic medical care can be out of reach for the average person.,-0.009374999999999998
Others have wondered whether government policy was at least partly to blame for Ma’s death.,-0.3
"China has long kept a tight rein on women’s reproductive rights, sometimes using force.",-0.1142857142857143
"While C-sections are favoured in China as a less painful option, the government has pressured hospitals to reduce the Caesarean rate which is among the world’s highest.",-0.4333333333333333
"Over a fifth of students said that they often experience stress from their heavy homework load, academic performance and preparation for secondary school.",-0.16666666666666666
"For example, their sleep may be affected: they may sleep too much or experience insomnia, or they may have poor sleeping quality and have a lot of nightmares,” said clinical psychologist Ester Lee Ming-lam a press conference on Sunday.",-0.1
"Lee added that some children may also suffer from stomachaches, diarrhea or other health problems.",-0.125
"The study also found that a lack of psychological resilience – meaning the ability to face pressure and handle emotions – was one of the biggest factors in childhood depression, and that these children tend to avoid things that trigger negative emotions and take to the extremity.",-0.15
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
"Almost 10 percent of the students  showed serious depression symptoms and needed clinical attention, according to the findings.",-0.3333333333333333
"The most frequently reported stressors were heavy schoolwork, choice of secondary school and poorer than expected academic results, it said.",-4.625929269271485e-18
"Other symptoms included reduced interest, loss of appetite and weight.",-0.125
"Ester Lee Ming-lam, a clinical psychologist at the NGO, said children with this condition are more prone to avoid and repress unpleasant memories.",-0.07499999999999996
"But she said this could lead to more negative thoughts and affect their emotion and behavior, leading to serious consequences such as suicide.",-0.033333333333333326
"She also said parents should not focus solely on academic results and should look to nurture other values such as confidence, empathy and creativity.",-0.041666666666666664
He’s behind.,-0.4
"The notorious parenting methods of Hong Kong parents, which are “helpful” in aiding our children to succeed in the Hong Kong educational system, have trained us to become numb to anything but success.",-0.016666666666666663
The average adult in Hong Kong works for 50.1 hours a week.,-0.024999999999999994
"Given that, let’s figure out the average amount of time children spend working.",-0.15
It will only push them to become socially awkward and more secluded from other people.,-0.056249999999999994
I am a product of these cruel methods.,-1.0
"And to do well in school, a child doesn’t have to attend tutorials constantly, especially when he or she is not even struggling in the subject.",-0.08333333333333333
"Suicide-bid son has mental issues A former social worker who allegedly killed his mother before attempting suicide may have been suffering from depression, sources said.",-0.06666666666666668
Police found psychiatric drugs when they searched through the flat at Kwai Shing East Estate in Kwai Chung where the 77-year-old woman was found dead on Sunday.,-0.1125
"Sources said the suspect, surnamed  Lee, 34, had been a patient at Kwai Chung Hospital's West Kowloon Psychiatric Centre and was last seen by a doctor late last month.",-0.09999999999999999
"At the last appointment, Lee was given the all-clear and was due for reassessment in February, sources said.",-0.0625
"Lee is alleged to have almost beheaded his mother, a patient with chronic health issues.",-0.1
"Around noon, Lee jumped from the flat on the 16th floor but his fall was broken by a tree and he remained conscious.",-0.10833333333333335
He was rushed to Princess Margaret Hospital with serious injuries.,-0.3333333333333333
"Lee and his friend co-founded an estate management company in 2011, but he was not able to work full-time as he had to care for his sick mother.",-0.48214285714285715
"""In my understanding, the old lady was taken care of by two foreign domestic helpers, but still the incident happened, so it's not clear whether the problem was inadequate support in care  we must learn the lesson and see what needs improving,"" he said.",-0.018750000000000003
He also said the government will improve its residential respite service that allows an elderly person in need of care to be taken into a home for a few days to give the caregiver a rest and relieve stress.,-0.2
"Speaking on a radio program, Chow said Lee was an able problem-solver and he was shocked to learn about the incident.",-0.09999999999999998
He also said Lee told him his mother disliked elderly homes.,-0.2
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
"They put on blindfolds on which were written ""turning a blind eye,"" criticizing the government for ignoring the problem.",-0.5
"The spokeswoman of the group's Parents Alliance, Annie Cheung Yim- shuen, denounced Secretary for Education Eddie Ng Hak-kim for saying the alliance was unprofessional and politicized in opposing the Territory- wide System Assessment.",-0.1
"Choi's eldest son, Peter Poon Hong-  yang, 25, died on Thursday after jumping from the family's flat on the 41st floor of the luxury estate Sorrento in Austin Road West.",-0.025
Poon had been treated for depression after a serious cycling accident while competing in a triathlon.,-0.3333333333333333
Another slogan mocked the late Chinese dissident Liu Xiaobo.,-0.15
The identities of those who put up the posters are still unknown.,-0.1
"If we get a lot of politics at the university, or [the incident] affects its reputation, it is not good for Hong Kong,” he said.",-0.35
"The contract could be helpful for students who may be in a confused state, as it would “increase [the] chances of them remembering ways to help themselves when they are tempted to commit suicide,” it added.",-0.4
"However, Cheng Lap, a former teacher, said on Facebook that “this [contract] is being talked about now because society has worsened to such a bad state.",-0.23333333333333328
"Chow Tsz-yan, a teacher and student guidance officer, told Stand News: “I understand that this tool is not necessarily useful, and there is controversy between [different] schools of thoughts.",-0.075
"But according to experience, in cases where a relationship has already been established with the student, it is a fairly effective shield and can function as a gatekeeper.” The psychologists group added that, although it did not think there were problems with the “no-suicide contract,” it said that the eBook published by the Education Bureau was “difficult to understand and messy.” This month, Hong Kong saw seven student suicides in the space of nine days.",-0.03333333333333335
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
"Among those who reacted online was Chinese University international relations academic Simon Shen Xu-hui, who said on his Facebook page that the pledge was ""unbelievable.""",-0.0625
"He added: ""Looks like there will be serious consequences after breaching the contract and arriving in hell.""",-0.3333333333333333
"""People would be reminded of the pledge content, and the pledge would make  a troubled student focus on ways to help himself,"" it said.",-0.5
"""The pledge can help a student who is emotionally confused to focus on the simplest ways to help himself, such as finding helpers, calling an assistance hotline and ways to distract his attention from suicide.""",-0.2
The incident happened at about 7:30am this morning and the teenage girl was certified dead by paramedics at the scene.,-0.1
The eldest son of Education Undersecretary Choi Yuk-lin has died after falling from a Tsim Sha Tsui flat on Thursday morning.,-0.025
"He was taken to hospital by an ambulance, but was later pronounced dead.",-0.1
The reasons for the incident are still unknown.,-0.1
Choi’s press secretary told local media that Choi thanks the public for its concern and she wishes to be given space through the difficult time.,-0.075
"RTHK cited anonymous sources as saying that the flat was Choi’s family residence, and that the eldest son had a record of depression and did not leave a suicide note.",-0.025
"If you are experiencing negative feelings, please call: The Samaritans 2896 0000 (24-hour, multilingual), Suicide Prevention Centre 2382 0000 or the Social Welfare Department 2343 2255.",-0.13333333333333333
"Christine Choi's son falls to his death The eldest son of the undersecretary for education, Christine Choi Yuk-lin, died today  after falling from his home at a residential complex above Kowloon MTR Station.",-0.15
Paramedics rushed him to Queen Elizabeth Hospital where he was certified dead.,-0.2
"Choi, (pictured, center), later issued a statement asking for her and her family to be given some space following the tragedy.",-0.03333333333333333
Writing's on wall for uni suicide shame The ruckus sparked by a banner congratulating education undersecretary Christine Choi Yuk-lin on the suicide of her 25-year-old son has been going on for a few days now.,-0.2
What's disappointing and unacceptable is Education University of Hong Kong president Stephen Cheung Yan- leung still saying he's clueless as to who put up the tasteless sign.,-0.6
"There can only be two possibilities -  either Cheung is highly inefficient, or he's merely trying to protect students.",-0.11333333333333333
