name,age,grade,date,x,sex,xx,xxx,xxxx
蘇姓女生,22,香港演藝學院四年級,14/04/2016,#VALUE!,female,男,male,female
謝姓男生,16,中三,19/04/2016,male,male,男,male,female
王姓男生,18,英國留學暫歸港,24/04/2016,male,male,男,male,female
劉姓男生,18,DSE自修生,10/06/2016,male,male,男,male,female
吳姓男生,20,DSE考生,17/06/2016,male,male,男,male,female
黃姓男生,14,國際學校十年級,23/06/2016,male,male,男,male,female
謝姓男生,19,文憑課程,22/07/2016,male,male,男,male,female
李姓男生,17,中五升中六,05/08/2016,male,male,男,male,female
張姓男生,22,大學三年級,26/08/2016,male,male,男,male,female
菲律賓籍男生,20,電腦工程系二年級,13/09/2016,male,male,男,male,female
梁姓女生,20,中六畢業生,28/09/2016,#VALUE!,female,男,male,female
黃姓男生,16,職業訓練局學生,04/10/2016,male,male,男,male,female
陳姓男生,17,休學,14/10/2016,male,male,男,male,female
劉姓女生,19,二年級,16/10/2016,#VALUE!,female,男,male,female
李姓男生,13,中二,01/11/2016,male,male,男,male,female
馮姓女生,21,會計學系準畢業生,12/11/2016,#VALUE!,female,男,male,female
鍾姓女生,20,哲學系三年級,21/11/2016,#VALUE!,female,男,male,female
蘇姓男生,20,前土木及環境工程,21/11/2016,male,male,男,male,female
徐姓男生,16,中三,23/11/2016,male,male,男,male,female
何姓男生,19,專上學院大專生,10/12/2016,male,male,男,male,female
詹姓女生,15,中二,12/12/2016,#VALUE!,female,男,male,female
吳姓男生,16,中五,16/12/2016,male,male,男,male,female
梁姓女生,13,中二,16/12/2016,#VALUE!,female,男,male,female
古姓女生,19,大學一年級,19/12/2016,#VALUE!,female,男,male,female
朱姓男生,25,報考內地大學,12/01/2017,male,male,男,male,female
林姓男生,19,休學,22/01/2017,male,male,男,male,female
楊姓男生,21,副學士二年級,24/01/2017,male,male,男,male,female
羅姓男生,19,二年級,02/02/2017,male,male,男,male,female
羅姓男生,16,中四,05/02/2017,male,male,男,male,female
蔡姓女生,13,中一,06/02/2017,#VALUE!,female,男,male,female
譚姓男生,15,中四,12/02/2017,male,male,男,male,female
外籍男生,15,國際學校 11年級,17/02/2017,male,male,男,male,female
龍姓男生,13,中二,21/02/2017,male,male,男,male,female
外籍男生,19,美國升學,28/02/2017,male,male,男,male,female
劉姓男生,13,中二,01/03/2017,male,male,男,male,female
譚姓男生,21,香港大學專業進修學院學生,09/03/2017,male,male,男,male,female
李姓男生,18,中五,15/03/2017,male,male,男,male,female
黃姓女生,21,大學三年級,17/03/2017,#VALUE!,female,男,male,female
張姓女生,20,香港大學專業進修學院學生,20/03/2017,#VALUE!,female,男,male,female
梁姓男生,17,中四,21/03/2017,male,male,男,male,female
女交流生,21,加拿大某大學心理學系三年級,03/04/2017,#VALUE!,female,男,male,female
陳姓女生,10,小學,05/04/2017,#VALUE!,female,男,male,female
方姓女生,19,休學,09/04/2017,#VALUE!,female,男,male,female
李姓女生,23,學護二年級,12/04/2017,#VALUE!,female,男,male,female
陳姓男生,20,香港大學專業進修學院,19/04/2017,male,male,男,male,female
劉姓男生,15,中三,27/04/2017,male,male,男,male,female
容姓男生,22,香港專業教育學院,26/06/2017,male,male,男,male,female
孫姓男生,19,美國升學,28/06/2017,male,male,男,male,female
何姓男生,23,大學四年級,05/07/2017,male,male,男,male,female
林姓男生,17,中五,27/07/2017,male,male,男,male,female
杜姓男生,17,中四,31/07/2017,male,male,男,male,female
黃姓男生,18,英國留學生,06/08/2017,male,male,男,male,female
何姓女生,17,休學一年,10/08/2017,#VALUE!,female,男,male,female
麥姓女生,21,大學三年級,13/08/2017,#VALUE!,female,男,male,female
何姓女生,15,中四,26/08/2017,#VALUE!,female,男,male,female
林姓男生,19,香港專業教育學院,31/08/2017,male,male,男,male,female
馮姓男生,23,加拿大留學生,02/09/2017,male,male,男,male,female
文姓男生,16,中五,05/09/2017,male,male,男,male,female
吳姓男生,17,中六,25/09/2017,male,male,男,male,female
伍姓男生,20,工商管理副學士,06/10/2017,male,male,男,male,female
曾姓男生,11,小六,12/10/2017,male,male,男,male,female
麥姓男生,17,中六,12/10/2017,male,male,男,male,female
周姓男生,19,休學,20/10/2017,male,male,男,male,female
林姓男生,21,半工讀學生,06/11/2017,male,male,男,male,female
錢姓女生,17,中六,20/11/2017,#VALUE!,female,男,male,female
簡姓男生,19,大專（休學）,23/11/2017,male,male,男,male,female
陳姓女生,16,中五,28/11/2017,#VALUE!,female,男,male,female
劉姓男生,21,大學一年級,09/12/2017,male,male,男,male,female
王姓女生,15,中四,10/12/2017,#VALUE!,female,男,male,female
熊姓男生,25,大學四年級,15/12/2017,male,male,男,male,female
周姓女生,23,大學四年級,17/12/2017,#VALUE!,female,男,male,female
熊姓女生,14,中三,02/01/2018,#VALUE!,female,男,male,female
黃姓男生,17,中六,02/01/2018,male,male,男,male,female
林姓女生,17,休學,14/01/2018,#VALUE!,female,男,male,female
蔡姓男生,19,大學一年級,16/01/2018,male,male,男,male,female
陳姓女生,17,中六,26/01/2018,#VALUE!,female,男,male,female
張姓女生,21,中六,19/02/2018,#VALUE!,female,男,male,female
林姓女生,16,中五,28/02/2018,#VALUE!,female,男,male,female
溫姓男生,25,大學二年級,05/04/2018,male,male,男,male,female
